ID,Age,Income (USD),Rent (USD),Groceries (USD),Eating Out (USD),Entertainment (USD),Subscription Services (USD),Education (USD),Online Shopping (USD),Savings (USD),Investments (USD),Travel (USD),Fitness (USD),Miscellaneous (USD)
811,20,5368,1435,387,290,191,32,664,495,766,1436,1358,89,370
812,26,5037,1734,263,418,83,87,669,375,1151,2993,71,244,126
813,19,6365,505,240,73,50,54,1489,45,2941,1469,215,296,308
814,21,5808,1508,553,433,66,71,1897,53,2622,2099,1383,164,205
815,23,6058,1705,413,480,149,88,1674,283,727,373,924,69,65
816,19,1782,795,227,132,371,80,220,157,1528,4251,1550,42,148
817,25,5178,1702,497,368,352,24,272,585,2649,4025,547,136,337
818,25,2986,1370,520,234,129,55,1177,481,447,1113,483,230,106
819,18,5582,1874,467,488,88,73,1272,187,1363,2726,807,209,268
820,20,7026,1851,562,365,77,55,278,650,1117,2398,283,135,348
821,27,5683,803,338,148,125,65,1463,674,669,3234,886,50,276
822,26,6663,1345,423,111,319,53,1971,100,2842,1265,1743,284,296
823,22,1960,512,395,335,349,84,815,426,2173,3123,712,94,297
824,23,3825,609,286,71,275,38,275,593,2052,653,774,98,23
825,21,5254,960,307,261,331,71,1004,65,2364,4158,425,51,84
826,27,3968,1052,319,175,190,98,513,618,1451,508,779,129,221
827,19,3224,571,499,462,181,61,1111,630,2984,2339,1319,288,82
828,25,2876,1894,289,474,305,63,1822,72,2921,3162,352,42,162
829,23,4243,1237,487,91,90,97,922,495,769,1687,454,285,263
830,22,2014,1525,528,147,274,66,641,611,817,1388,1861,162,311
831,26,2202,331,445,498,393,92,504,35,2457,2197,1736,99,304
832,18,3153,742,383,80,74,75,589,379,2746,3911,757,113,199
833,22,3566,461,451,207,342,31,771,506,366,2928,966,21,193
834,23,1522,1066,336,161,22,29,1264,521,1538,4799,70,169,344
835,22,3960,553,293,451,45,42,1676,160,2793,515,306,205,130
836,23,6649,820,386,296,332,81,739,639,1456,3658,448,271,194
837,23,7426,1276,358,171,145,34,674,466,1122,1833,1602,100,172
838,24,7751,1974,345,322,72,55,1259,309,2137,29,100,206,375
839,21,2804,1803,235,343,217,82,1013,228,2597,3214,496,78,236
840,25,4800,309,379,447,318,66,127,494,664,325,1343,229,316
841,24,6730,1025,370,256,207,96,502,432,1370,3766,876,223,259
842,26,7779,804,270,159,205,14,1223,696,1159,4111,644,155,245
843,24,1861,1084,258,489,324,64,1985,446,1524,110,867,242,205
844,20,5227,1883,300,327,317,70,901,390,127,106,685,243,67
845,20,7772,735,586,105,223,98,542,683,319,2426,1875,223,227
846,25,7495,1434,144,424,30,17,1525,309,505,4378,1335,70,176
847,22,2784,452,549,452,378,25,1673,451,1737,4364,1438,87,244
848,21,2014,1958,363,106,373,57,491,287,1898,2531,1122,104,163
849,25,1948,1216,170,477,165,70,1044,170,2418,3144,1591,225,130
850,23,7519,1168,463,340,104,24,1257,274,1859,4693,1702,222,337
851,19,7102,1425,470,163,119,74,713,372,1774,798,1191,209,382
852,21,6843,1052,202,430,123,31,790,396,891,2437,1526,40,381
853,21,3355,1514,589,434,65,12,1666,672,1062,2011,824,299,151
854,23,6469,862,224,357,63,63,415,377,1409,425,1938,144,132
855,23,5062,1404,412,390,297,23,147,627,933,3044,1022,92,343
856,18,4020,788,563,247,200,45,969,389,416,3288,1959,56,108
857,25,4581,1194,582,470,206,91,28,246,1420,2914,1714,215,180
858,23,2928,1411,385,370,133,91,1384,322,2485,1239,446,86,353
859,20,5467,1517,557,228,274,76,307,408,1430,3391,732,268,94
860,26,7945,403,329,434,399,19,1906,396,450,4213,1100,101,300
861,19,7874,1419,245,268,49,58,1965,137,610,3997,760,109,26
862,25,7350,1746,469,326,283,74,161,24,2672,3006,1445,204,132
863,27,2422,1521,296,486,117,66,868,463,591,3039,1972,201,55
864,20,4637,1324,472,65,332,36,851,371,2031,598,1899,77,285
865,22,3659,1306,320,428,386,84,60,552,1717,2087,1930,251,132
866,23,6632,706,522,110,348,14,124,683,2156,1184,1170,99,311
867,27,7012,1701,159,103,134,80,1479,659,1620,2750,578,19,242
868,23,4047,466,197,217,295,92,1094,143,1683,2584,734,273,230
869,21,4479,808,270,75,300,66,837,677,2708,4759,662,277,37
870,20,3781,1961,481,385,294,24,1930,296,2587,3513,235,127,260
871,21,4149,612,272,114,280,85,1899,413,1675,4745,745,259,153
872,18,1813,1916,250,149,350,39,465,683,2939,4054,264,68,239
873,21,4113,1741,552,123,226,29,242,379,1861,4383,1324,204,121
874,18,4583,1062,449,241,347,46,1513,642,2091,3936,265,59,159
875,18,3756,980,489,220,230,12,1784,488,1368,1699,78,106,188
876,27,7593,776,539,322,234,82,1244,647,2180,4507,151,136,210
877,23,2537,372,221,426,59,50,472,76,1146,2575,172,255,44
878,22,7252,1464,593,236,45,48,958,270,2992,135,103,96,52
879,21,4989,881,207,72,46,35,532,169,2713,2025,1356,86,362
880,20,4134,561,103,440,209,11,493,471,148,3535,1687,213,348
881,18,5483,1663,192,477,102,32,898,181,561,4854,1190,155,25
882,23,3278,1631,506,230,189,32,81,139,2737,2890,665,158,213
883,19,6610,544,105,376,186,94,855,601,435,2757,606,120,249
884,25,6689,1838,387,157,207,25,878,370,1481,3773,163,138,156
885,27,5395,1660,205,384,188,18,1545,118,1245,380,904,262,342
886,22,2624,1898,245,211,308,22,922,186,458,1528,1616,175,235
887,24,2197,860,370,351,248,37,11,682,2493,4901,725,146,368
888,27,3679,1399,523,255,116,36,1286,533,292,4571,1026,288,383
889,19,2904,474,477,127,386,60,1680,683,1539,3628,750,20,202
890,25,6751,408,195,65,35,73,448,420,1500,848,1366,80,187
891,19,2543,482,556,376,298,61,1215,384,855,4992,1268,168,301
892,21,3429,491,328,145,154,90,761,596,1784,4127,341,225,57
893,18,2513,364,301,196,45,47,1137,345,2625,1927,1960,35,182
894,22,1726,1262,311,51,371,74,25,600,927,2165,310,295,161
895,26,3328,1797,105,59,31,27,1806,652,989,4286,1280,171,267
896,18,7088,1423,211,483,91,72,1522,640,752,2121,613,111,122
897,26,6417,1867,475,174,152,60,507,266,2555,4718,98,78,218
898,25,3523,1163,478,130,125,18,1568,453,2433,2918,1079,142,219
899,23,6466,1451,546,189,239,22,61,112,2021,4681,428,198,61
900,24,3952,1775,422,375,392,49,228,287,950,472,1467,220,166
901,20,7845,668,205,199,196,64,1838,634,210,1787,1959,252,85
902,18,3585,1150,238,337,301,88,606,643,719,113,273,175,212
903,22,7391,342,398,410,152,52,1058,340,892,1336,1096,70,317
904,19,5783,1742,500,389,41,53,1728,81,2197,338,1057,288,57
905,22,2580,787,195,178,288,77,1479,319,1257,2285,706,122,160
906,25,6536,377,487,487,180,42,1611,422,687,1196,159,39,125
907,26,3820,1125,546,288,126,33,890,667,2743,78,773,170,171
908,19,4690,1593,551,107,298,45,1525,586,2817,4559,1885,243,371
909,20,4130,973,436,247,372,19,760,639,1409,2652,602,179,345
910,20,4063,1000,396,260,254,29,594,322,2057,4657,1472,195,57
911,18,4792,1058,566,451,37,84,1048,272,2461,4380,1245,66,116
912,25,6121,1027,488,439,261,21,1592,497,2753,4318,1055,249,127
913,23,5086,1638,515,94,136,71,1055,388,396,2640,747,266,138
914,25,5931,1224,313,146,305,27,1854,698,1729,1256,775,210,170
915,26,6674,1201,553,328,301,72,1035,179,668,827,355,115,93
916,22,4447,1188,390,72,163,93,1342,185,1287,2718,1637,299,76
917,20,5459,1292,121,459,224,34,1868,224,931,4923,1655,110,385
918,22,4313,1491,292,440,58,21,1627,286,709,2810,1781,106,354
919,22,4083,638,567,384,173,30,0,157,115,3385,1008,162,271
920,22,1661,492,249,93,195,34,1458,387,1469,1965,1003,38,311
921,20,2093,1776,467,76,260,20,1861,462,171,2427,1224,162,332
922,27,7534,582,346,331,388,73,1159,586,369,2841,1501,82,274
923,21,7802,1659,366,146,153,82,1219,36,386,613,670,263,273
924,26,4759,689,560,85,65,59,132,87,165,562,1540,13,278
925,27,5655,1299,350,158,69,71,85,152,979,4826,679,246,289
926,26,4462,824,589,104,185,98,1499,449,167,4352,926,47,53
927,19,5388,1563,102,241,125,58,1830,327,1316,184,1680,29,345
928,25,4890,1806,492,268,235,23,1814,669,1502,2192,1841,122,344
929,25,7497,958,415,234,165,10,1347,193,1073,4065,605,32,257
930,24,7854,1015,175,118,91,90,1203,431,607,245,116,145,198
931,25,6001,1915,186,366,349,34,515,116,2984,4086,1229,257,123
932,20,2163,1190,369,179,292,68,1661,173,1225,2234,884,106,48
933,23,2632,1878,324,104,266,81,174,261,985,865,255,42,246
934,18,6695,1781,117,427,205,78,762,323,2941,2087,835,144,251
935,24,2041,1412,212,146,89,14,1044,304,2569,600,204,264,323
936,18,6933,1983,350,385,169,28,996,46,2087,3033,1764,287,369
937,26,6593,1418,332,136,265,32,1975,421,874,2056,1582,142,354
938,18,6736,751,428,343,281,18,1128,379,2625,2131,1645,247,136
939,18,4474,727,378,168,45,59,577,79,1025,532,1147,24,226
940,24,2367,1474,301,257,159,25,1466,221,219,2042,1122,286,204
941,19,3566,1837,182,383,118,42,1798,600,2038,357,832,135,157
942,22,1931,1699,224,462,297,11,48,389,587,377,1540,26,342
943,25,6335,1345,274,203,70,23,527,552,2225,2219,634,59,183
944,25,6969,1182,168,84,170,10,144,171,540,4488,757,144,94
945,20,5778,612,146,128,123,99,1363,121,561,4797,1984,127,252
946,24,7756,1139,471,116,108,67,761,626,711,3307,228,69,303
947,20,2706,818,355,392,160,98,1878,465,1417,2596,1121,134,396
948,23,4028,1529,314,462,232,25,1377,248,1759,783,1145,125,274
949,23,2669,674,129,83,252,88,1098,144,1016,2379,162,182,28
950,20,2330,750,380,146,202,99,1825,255,2756,3603,806,196,222
951,24,3151,1949,511,218,270,56,928,181,105,982,946,97,398
952,20,2636,1314,581,218,28,53,793,573,780,3942,1976,212,324
953,25,4310,894,336,200,98,89,1601,372,2418,2590,870,191,110
954,27,1975,1502,347,120,71,23,1660,87,1743,1042,208,177,351
955,21,4310,1533,467,52,288,33,318,192,2958,2538,835,190,169
956,18,2826,799,594,363,245,64,1110,656,2706,861,1853,139,379
957,21,6566,763,124,81,70,24,1576,578,198,1876,1889,158,195
958,24,2519,1447,173,336,205,92,697,280,625,1835,1103,218,52
959,21,6737,412,305,131,53,81,1889,236,2341,4208,1170,120,203
960,23,3336,1335,589,92,310,43,1915,143,1280,3526,300,146,176
961,26,5756,1449,593,440,249,11,846,181,1789,1685,1592,220,72
962,18,3948,1888,413,154,150,36,1801,220,1238,3401,1165,155,315
963,22,5793,630,193,50,139,83,782,473,495,1622,162,93,221
964,24,2783,1606,474,110,345,96,41,421,869,4957,308,39,293
965,18,2159,439,226,319,266,81,1116,481,1926,2657,156,74,194
966,21,7371,1724,524,229,211,32,1720,294,1645,1932,624,33,263
967,23,6666,1201,124,273,342,77,1750,225,2892,507,1463,220,288
968,19,3510,1420,433,55,229,23,1530,59,782,4561,1040,231,93
969,27,1898,816,454,152,122,72,528,292,1656,3478,1431,99,115
970,22,3233,868,215,59,348,74,1979,112,114,2656,1856,115,380
971,27,7178,1145,147,120,391,77,1288,61,2515,1121,1272,181,192
972,18,3625,1392,325,139,152,72,1649,484,2785,289,476,239,174
973,23,3671,417,365,275,342,99,291,398,1336,2829,1551,86,202
974,23,1574,1187,198,207,158,90,968,126,2847,2209,908,77,342
975,21,7780,1382,558,277,140,96,1487,347,104,4812,1922,101,308
976,25,6197,1356,110,454,113,73,1827,84,2378,1400,1576,97,277
977,21,4971,1641,184,175,148,41,1583,384,2008,566,1731,59,94
978,25,2336,349,504,493,110,88,1842,503,1525,1473,967,112,193
979,25,7124,1812,313,258,111,22,96,666,1707,1987,1646,55,349
980,22,1999,318,272,146,82,75,1910,43,2733,3787,1193,188,250
981,21,7192,1025,490,123,48,28,1118,559,268,3865,1646,276,266
982,19,1637,496,308,164,229,33,1349,81,2908,3260,1382,277,180
983,20,3597,1773,547,240,31,97,73,510,891,3547,1611,17,205
984,20,7390,858,481,219,352,20,1359,292,1099,3251,676,274,162
985,21,6568,751,163,356,316,68,1091,248,251,1716,524,87,301
986,21,7238,588,357,497,149,95,757,39,2371,1012,601,249,147
987,27,5196,1464,431,253,312,24,1941,22,603,1310,393,267,185
988,22,3385,1407,220,105,192,19,1100,440,1673,4570,677,205,46
989,21,7897,690,397,257,227,50,207,326,2191,617,185,140,265
990,27,7624,1914,565,90,43,36,1907,451,2844,4736,326,270,154
991,25,4257,514,153,81,118,69,1789,155,603,4257,1884,251,221
992,23,5420,1849,430,64,375,82,1244,534,942,1982,1606,180,40
993,23,3400,514,371,111,158,61,1285,212,450,2228,1972,156,98
994,25,4110,1726,340,204,333,37,409,604,2170,4820,80,279,177
995,24,5486,427,342,333,193,74,330,434,1759,468,296,158,113
996,27,2949,1800,117,258,48,26,343,137,697,4116,460,37,27
997,27,2046,1059,582,369,162,53,988,685,1166,4355,76,158,358
998,25,6517,703,286,236,335,19,770,228,2613,1139,122,289,278
999,19,6176,1352,445,491,370,72,1843,53,139,1436,1170,191,74
1000,26,6968,637,243,179,61,91,73,668,2450,536,722,175,55
1001,18,7552,1130,361,176,318,56,1660,337,274,951,1419,26,25
1002,25,3503,1013,540,341,227,47,1723,139,1098,2813,525,159,396
1003,21,3596,660,463,163,349,79,253,646,1584,3006,1373,54,61
1004,21,2203,868,590,248,211,85,958,544,2768,3994,1372,198,69
1005,22,7904,1715,530,62,179,62,1856,600,1316,1840,336,148,131
1006,25,3903,517,338,320,83,87,819,108,2391,850,1958,70,165
1007,22,3125,1897,403,138,262,53,1770,531,935,1971,1522,42,249
1008,25,4831,1992,397,264,277,83,985,66,2427,1191,261,121,230
1009,27,6233,501,175,493,171,63,1785,541,1159,3920,1149,46,325
1010,18,6605,316,287,327,234,29,331,303,2704,4628,450,109,49
1011,27,4478,621,432,496,341,88,1421,396,997,2062,704,32,314
1012,26,6236,817,487,252,185,40,1368,657,1663,3046,1107,227,135
1013,23,4339,1893,586,123,50,16,1607,153,1146,4399,547,98,245
1014,20,4884,1648,345,74,390,67,746,686,2866,3558,897,218,78
1015,25,4159,1735,229,150,251,19,835,267,1031,4511,1589,280,95
1016,26,3361,1641,573,225,301,19,1691,671,2238,304,1401,246,235
1017,23,4356,980,414,476,48,48,454,337,2537,4908,147,218,151
1018,24,6801,1405,510,166,214,37,1929,455,2697,2847,415,287,323
1019,18,2185,1797,382,215,353,39,1138,195,1351,2435,1802,215,100
1020,22,7447,1791,178,90,275,46,312,605,1325,2804,512,87,324
1021,22,5783,724,171,478,300,76,1017,370,1473,1984,77,107,86
1022,27,3119,1527,362,393,323,52,227,162,1161,3936,762,103,249
1023,21,7283,1906,290,473,340,88,833,417,2880,712,1459,89,352
1024,23,6580,1318,466,415,342,94,857,643,599,2895,322,47,296
1025,24,6143,686,474,169,365,61,1268,662,1822,1681,875,237,380
1026,26,2931,1077,529,146,313,65,817,388,2664,1333,1200,143,91
1027,18,2375,397,162,194,106,85,1549,520,2215,3198,251,205,228
1028,23,6213,1668,587,265,168,77,1017,641,1863,174,1594,291,291
1029,24,3961,507,479,278,268,18,527,389,2270,3205,1360,110,163
1030,20,2865,1837,111,362,340,32,949,598,1808,1416,499,84,270
1031,25,2743,1959,240,179,302,72,426,401,435,1987,1161,217,303
1032,22,6498,885,353,401,381,70,41,105,1276,4853,1391,92,198
1033,26,1662,465,142,426,398,49,464,479,878,1772,68,152,99
1034,22,3474,321,116,367,217,53,1645,344,1285,4266,1666,65,76
1035,26,4791,453,162,186,63,95,277,541,2033,1074,1180,296,385
1036,27,1769,1762,352,373,375,33,835,508,1566,4760,1531,220,327
1037,21,2131,1618,564,386,47,60,18,416,2570,591,360,188,193
1038,26,2405,518,475,322,36,67,65,374,1661,2978,461,67,257
1039,22,4971,968,391,166,146,99,166,307,1038,3982,791,82,185
1040,27,4753,1818,568,355,398,42,1608,478,903,2410,673,224,103
1041,26,3514,529,107,417,187,25,1019,643,2035,847,781,275,67
1042,20,3141,319,424,143,263,31,402,555,733,493,684,82,146
1043,21,1704,852,189,217,95,66,1935,310,1353,545,547,280,188
1044,26,2081,1249,307,491,250,71,1845,187,1182,4999,293,243,373
1045,27,7175,447,391,252,223,91,408,640,2243,2286,739,28,393
1046,23,2340,1431,383,390,267,80,111,447,1385,2697,626,122,368
1047,19,7432,702,217,198,321,99,1297,509,453,3837,1453,72,86
1048,24,6847,895,448,451,233,81,1430,374,1259,1540,564,193,349
1049,19,3219,1806,274,232,234,79,1396,215,1985,883,256,286,359
1050,19,7238,666,175,462,177,39,596,564,1918,3956,997,171,213
1051,18,4143,1737,200,201,88,32,650,678,1066,3094,443,252,174
1052,20,3797,1632,513,123,104,41,1062,30,2620,2365,1094,154,179
1053,23,2374,1101,250,414,286,95,104,601,2577,3347,1878,155,203
1054,25,7060,1217,499,450,88,66,323,275,2684,3071,1600,90,285
1055,26,7839,1457,369,323,118,18,1816,415,1269,3675,1416,52,187
1056,24,2189,1606,557,91,366,40,1982,428,1647,4715,767,185,164
1057,21,5500,372,170,261,235,80,991,381,2234,952,251,78,205
1058,23,7606,780,592,150,180,18,1437,278,208,3300,169,65,393
1059,22,4641,1675,279,94,113,22,428,22,1468,3735,1722,128,372
1060,25,2922,859,223,131,193,67,634,103,1857,3179,1885,213,281
1061,18,7597,1649,480,66,184,12,729,175,1093,2963,1880,64,293
1062,18,2171,1044,392,122,134,44,888,682,1617,4027,438,47,347
1063,23,2671,1766,384,63,239,30,1084,195,1456,3247,1610,252,364
1064,27,7091,399,294,482,50,73,1635,491,921,4415,1897,210,242
1065,19,5226,1382,498,206,30,61,1330,638,1036,3357,283,245,61
1066,22,2443,807,327,272,362,43,1377,443,2796,4971,1706,24,23
1067,18,7842,557,530,181,396,44,392,153,290,4848,651,153,295
1068,24,2949,712,529,387,149,24,203,399,2096,2704,1393,86,303
1069,18,5237,1775,535,453,124,15,257,686,1032,1037,761,272,212
1070,21,4039,1388,374,425,46,94,485,296,241,70,1031,194,123
1071,26,5459,894,560,425,246,41,1540,255,1992,2874,1253,64,266
1072,18,6491,1477,205,96,21,61,445,32,2987,105,906,13,319
1073,21,7785,565,120,156,378,92,1732,361,2315,769,1441,49,42
1074,23,6932,1120,163,157,120,37,1203,54,665,2009,125,239,322
1075,23,5760,1402,264,314,40,94,1023,578,1382,2940,698,295,32
1076,25,3861,1638,126,254,77,73,341,233,1562,2192,699,147,163
1077,18,7664,961,410,128,199,88,132,431,1234,3495,545,112,237
1078,24,6701,1246,599,204,360,87,442,424,843,4311,1595,16,202
1079,18,5152,859,384,320,368,28,1859,513,772,4355,1274,173,370
1080,24,5170,1216,247,296,39,24,252,677,2986,933,879,285,261
1081,20,3253,1190,380,68,274,15,264,178,630,574,1419,58,212
1082,25,3852,1571,425,395,336,82,92,656,1413,3930,532,105,291
1083,20,3438,1167,418,485,57,93,1685,129,661,4380,1292,68,394
1084,18,1870,909,263,75,167,47,1434,568,1633,4087,1133,240,184
1085,25,7476,713,485,266,44,35,137,545,2322,2531,1040,186,199
1086,20,6448,324,505,203,140,91,1231,366,401,2419,1732,99,136
1087,19,5979,583,323,203,45,60,1001,655,284,69,668,291,285
1088,18,3431,1772,371,223,188,82,1660,298,609,4474,599,45,397
1089,20,1924,1180,245,141,342,62,1769,498,2966,1302,695,180,57
1090,19,7804,600,552,482,244,65,1596,130,1433,3814,1984,135,63
1091,19,6224,1391,537,387,20,68,306,655,1469,2349,1294,213,370
1092,23,2394,1330,455,230,326,79,265,450,2303,254,1888,298,93
1093,18,7970,1116,129,180,280,87,645,561,2934,1707,551,106,388
1094,19,2097,1460,144,499,32,67,317,134,894,4787,1206,247,245
1095,23,4562,1487,374,347,67,97,1136,109,2579,833,895,182,326
1096,20,3836,382,570,324,332,22,900,231,1623,2764,102,97,327
1097,21,6188,1973,133,322,390,52,1401,569,860,2471,499,26,367
1098,18,3187,1743,240,466,310,85,453,614,2294,3742,111,149,334
1099,25,2072,1396,526,125,351,60,190,558,2628,2035,1096,263,32
1100,24,7671,1560,417,226,113,28,1914,379,534,1967,93,287,31
1101,24,3590,345,473,233,280,30,1463,505,1642,99,869,160,69
1102,20,7300,917,320,368,297,92,1210,391,2138,1852,1631,149,332
1103,27,5169,1227,455,180,378,33,830,234,1806,3183,708,123,268
1104,27,5772,561,121,412,224,35,1390,34,168,2355,777,77,138
1105,20,6124,475,279,98,204,54,1112,278,1729,111,901,188,76
1106,19,3133,1489,535,104,194,37,186,482,2004,3158,96,134,201
1107,18,6561,956,466,203,399,91,818,139,2333,182,1932,242,283
1108,24,3017,1141,519,404,328,38,1969,147,2829,3852,869,156,125
1109,24,5793,669,428,249,88,26,1020,542,2351,164,1097,120,210
1110,19,4157,353,330,357,123,77,131,664,653,2137,1730,247,156
1111,24,5148,989,598,405,265,53,871,344,2160,2023,138,12,207
1112,25,6448,1742,502,422,180,70,634,339,2813,454,1247,220,139
1113,18,5088,1830,137,167,219,77,1583,525,1397,2285,1649,34,261
1114,26,3037,1664,169,312,235,83,1823,545,2198,4822,1192,193,338
1115,24,7665,1450,215,95,231,34,1399,69,599,541,784,70,91
1116,20,6676,1732,338,351,35,76,690,603,2516,2665,1741,132,262
1117,25,4637,666,434,405,391,11,691,88,2871,2449,227,64,150
1118,24,1597,1594,540,449,351,98,1122,410,2504,4937,1068,172,288
1119,25,4715,943,247,457,224,58,1865,402,2994,3933,1905,196,71
1120,23,7499,1928,108,238,384,79,1057,35,1629,2886,1997,48,81
1121,26,6030,678,387,359,58,35,1955,458,2403,4614,1415,194,138
1122,22,6232,372,487,367,108,81,581,587,1611,4292,1641,92,384
1123,20,5250,1214,149,178,275,36,170,636,378,3904,1132,204,283
1124,20,4657,1571,437,98,273,98,1389,151,1182,1688,950,43,258
1125,18,6183,1159,104,74,235,27,783,579,545,1637,487,122,370
1126,25,1843,342,503,315,387,63,1082,267,2260,4728,1501,239,274
1127,19,6913,676,442,167,322,10,180,292,935,4670,475,292,192
1128,20,7575,1364,225,193,191,70,18,642,854,4082,1017,296,328
1129,25,6166,469,174,491,156,12,1249,368,1945,1890,1454,164,256
1130,25,2110,511,264,249,197,77,1496,503,1692,3205,535,174,338
1131,21,3227,1816,377,206,96,50,1118,569,1612,477,1805,191,114
1132,21,3790,338,541,397,207,46,880,376,1530,2366,1258,248,356
1133,22,3354,668,423,183,34,60,1320,337,2514,2526,1632,146,76
1134,23,4108,1056,576,449,311,24,1616,652,1183,366,509,275,86
1135,22,6555,450,399,197,338,17,174,67,2476,1836,1962,196,65
1136,24,3579,1434,389,385,344,47,1245,29,2875,1715,970,49,113
1137,19,3824,1803,176,120,233,92,1638,252,1690,12,1175,176,157
1138,24,6127,1759,397,282,227,65,53,55,2008,535,1629,269,388
1139,27,2677,1370,236,383,188,56,694,432,2867,3239,1088,152,112
1140,24,2591,1323,205,348,349,99,862,481,2331,2317,797,213,251
1141,18,7497,1898,194,203,299,19,1426,23,1122,4042,1946,185,68
1142,24,6479,1036,234,139,324,87,1341,63,2458,375,100,271,42
1143,22,7857,1689,167,383,165,58,1890,587,1661,1724,358,261,81
1144,20,7274,368,246,248,282,50,348,573,276,256,1107,209,286
1145,20,4291,598,589,210,23,92,442,274,946,2264,1709,208,348
1146,21,7856,1243,577,75,109,39,832,133,1348,449,1054,205,137
1147,19,7722,1101,258,170,79,14,579,416,1700,893,1662,86,107
1148,19,3249,595,483,350,330,80,1563,193,1704,3212,1977,28,108
1149,18,4175,502,262,261,35,92,1809,274,2075,1184,684,71,74
1150,22,2281,360,540,112,246,40,281,485,2156,3223,254,290,172
1151,21,4548,1245,440,485,48,61,359,296,335,1308,789,259,258
1152,27,3605,1262,288,117,170,97,914,483,809,4705,1143,236,284
1153,19,5367,1637,514,302,264,32,822,521,2832,916,1303,136,287
1154,20,6476,1484,438,459,289,57,1654,460,893,147,1553,67,132
1155,24,6042,630,194,51,98,49,891,88,2955,4751,582,213,185
1156,24,3613,1851,280,447,308,15,952,528,2034,2114,157,252,175
1157,21,7379,637,387,157,172,47,1669,345,1769,4016,925,261,27
1158,22,6873,1929,421,335,296,50,640,86,126,3940,1314,208,221
1159,22,5470,1627,286,98,298,36,1031,323,2697,4071,300,249,236
1160,23,3491,1826,471,189,76,84,562,503,1326,2795,184,148,311
1161,26,2567,1973,237,267,205,78,490,567,184,442,1163,131,69
1162,19,3077,1661,229,93,112,66,340,436,1955,2944,1664,58,126
1163,22,2511,1873,293,466,295,26,471,178,2613,3936,1513,124,28
1164,20,3774,938,415,318,177,80,1816,168,1222,398,738,260,252
1165,21,6369,574,571,127,294,56,1710,46,1313,1151,1371,16,207
1166,27,3314,1487,372,265,200,88,1718,603,111,3792,456,228,342
1167,23,3926,1766,451,431,378,22,1727,267,1112,2995,1381,86,328
1168,25,6797,618,243,147,96,20,248,120,1848,2216,151,188,357
1169,18,7046,888,115,285,170,99,234,115,1976,1707,1434,154,129
1170,27,5902,803,401,331,257,95,1106,403,2719,3331,1920,163,164
1171,25,6374,686,522,198,308,33,1116,301,1417,1987,1697,130,247
1172,24,4051,1169,344,461,250,82,1908,341,1483,4602,742,133,328
1173,18,7911,1132,514,353,37,13,1417,415,1778,2568,1689,159,133
1174,19,5157,1314,206,473,92,55,823,297,279,160,1601,277,82
1175,20,1507,902,187,115,208,27,1291,548,896,4435,1681,10,294
1176,18,4055,990,228,283,36,52,1440,282,1567,3904,1366,170,143
1177,26,1975,793,494,136,38,89,631,638,2124,3573,1219,253,105
1178,25,6916,789,474,128,238,42,1606,599,2588,3177,453,260,89
1179,19,3711,1020,440,254,345,19,528,659,986,1825,863,73,66
1180,26,1984,1396,103,328,139,82,1276,312,2568,3924,1075,257,218
1181,24,6500,808,426,386,120,68,1980,313,1289,1623,1192,124,383
1182,26,6154,689,509,303,53,40,121,627,1775,1176,904,10,220
1183,23,7563,1942,466,353,103,37,891,414,1619,4918,1679,50,295
1184,23,3785,594,405,429,215,69,9,532,2615,3720,1264,182,56
1185,21,6723,1692,495,179,349,12,1822,199,2860,4880,1076,97,222
1186,27,6829,1095,194,133,221,64,1339,254,2532,3220,991,107,149
1187,27,6063,1164,308,325,363,23,837,356,2461,3259,1070,97,311
1188,19,5025,848,324,236,360,67,1296,27,870,130,1560,260,83
1189,24,4839,948,558,95,30,98,1329,462,1378,3562,1696,150,282
1190,22,4322,867,447,436,366,24,1828,558,1058,1499,226,80,139
1191,23,6443,1510,579,232,237,11,1233,677,1016,2788,1330,146,297
1192,19,4424,1152,420,317,272,33,1981,110,2170,4876,922,108,221
1193,22,1758,1069,146,345,241,87,1753,291,1881,3708,1607,160,65
1194,27,1782,744,575,371,388,73,752,24,438,1707,526,184,187
1195,21,7245,1893,280,149,99,80,885,613,1616,1769,447,176,129
1196,26,3398,662,205,127,26,33,463,238,2970,1318,1569,266,65
1197,23,5635,422,298,321,291,36,711,137,2513,3379,269,233,231
1198,19,4476,1511,485,388,246,46,727,612,1495,2773,222,74,47
1199,18,3767,1041,205,211,35,48,716,601,1014,2990,785,78,106
1200,22,4700,979,379,93,31,72,1948,134,1953,3044,1463,76,310
1201,26,6610,719,359,287,310,88,1439,282,574,375,551,59,176
1202,23,2112,1949,207,183,260,35,1239,325,1546,3036,1650,100,284
1203,27,7511,1575,118,241,40,74,79,673,1479,660,1862,124,284
1204,24,2187,1942,509,405,197,13,1802,441,1583,1403,810,66,41
1205,22,5190,1872,558,327,247,38,479,226,2174,740,1333,27,275
1206,27,2112,1658,395,67,292,10,901,642,2949,303,180,281,210
1207,23,3807,391,405,61,307,59,890,322,900,1085,1186,139,251
1208,22,4513,1853,270,229,316,95,1570,131,1346,4881,847,278,205
1209,26,3281,362,430,172,153,20,1824,436,963,3179,848,89,345
1210,23,7406,1985,592,295,302,83,17,574,2837,1210,979,211,202
